x,y,vx,vy,paddle_user.y
1157,297,-3,-3,138
1154,294,-3,-3,138
1151,291,-3,-3,138
1148,288,-3,-3,138
1145,285,-3,-3,138
1142,282,-3,-3,139
1139,279,-3,-3,140
1136,276,-3,-3,140
1133,273,-3,-3,140
1130,270,-3,-3,140
1127,267,-3,-3,140
1124,264,-3,-3,140
1121,261,-3,-3,140
1118,258,-3,-3,140
1115,255,-3,-3,140
1112,252,-3,-3,140
1109,249,-3,-3,140
1106,246,-3,-3,140
1103,243,-3,-3,140
1100,240,-3,-3,140
1097,237,-3,-3,142
1094,234,-3,-3,144
1091,231,-3,-3,146
1088,228,-3,-3,149
1085,225,-3,-3,149
1082,222,-3,-3,152
1079,219,-3,-3,155
1076,216,-3,-3,158
1073,213,-3,-3,160
1070,210,-3,-3,160
1067,207,-3,-3,163
1064,204,-3,-3,169
1061,201,-3,-3,176
1058,198,-3,-3,182
1055,195,-3,-3,182
1052,192,-3,-3,188
1049,189,-3,-3,192
1046,186,-3,-3,192
1043,183,-3,-3,195
1040,180,-3,-3,197
1037,177,-3,-3,197
1034,174,-3,-3,197
1031,171,-3,-3,198
1028,168,-3,-3,199
1025,165,-3,-3,199
1022,162,-3,-3,199
1019,159,-3,-3,199
1016,156,-3,-3,199
1013,153,-3,-3,199
1010,150,-3,-3,199
1007,147,-3,-3,199
1004,144,-3,-3,199
1001,141,-3,-3,199
998,138,-3,-3,199
995,135,-3,-3,199
992,132,-3,-3,199
989,129,-3,-3,199
986,126,-3,-3,199
983,123,-3,-3,199
980,120,-3,-3,199
977,117,-3,-3,199
974,114,-3,-3,199
971,111,-3,-3,199
968,108,-3,-3,199
965,105,-3,-3,198
962,102,-3,-3,197
959,99,-3,-3,197
956,96,-3,-3,197
953,93,-3,-3,197
950,90,-3,-3,197
947,87,-3,-3,197
944,84,-3,-3,197
941,81,-3,-3,197
938,78,-3,-3,197
935,75,-3,-3,197
932,72,-3,-3,197
929,69,-3,-3,197
926,66,-3,-3,197
923,63,-3,-3,197
920,60,-3,-3,197
917,57,-3,-3,197
914,54,-3,-3,197
911,51,-3,-3,197
908,48,-3,-3,197
905,45,-3,-3,197
902,42,-3,-3,197
902,42,-3,3,197
899,45,-3,3,197
896,48,-3,3,197
893,51,-3,3,197
890,54,-3,3,197
887,57,-3,3,197
884,60,-3,3,197
881,63,-3,3,197
878,66,-3,3,197
875,69,-3,3,197
872,72,-3,3,197
869,75,-3,3,197
866,78,-3,3,197
863,81,-3,3,197
860,84,-3,3,197
857,87,-3,3,197
854,90,-3,3,197
851,93,-3,3,197
848,96,-3,3,197
845,99,-3,3,197
842,102,-3,3,197
839,105,-3,3,197
836,108,-3,3,197
833,111,-3,3,197
830,114,-3,3,197
827,117,-3,3,197
824,120,-3,3,197
821,123,-3,3,197
818,126,-3,3,197
815,129,-3,3,197
812,132,-3,3,197
809,135,-3,3,197
806,138,-3,3,197
803,141,-3,3,197
800,144,-3,3,197
797,147,-3,3,197
794,150,-3,3,197
791,153,-3,3,197
788,156,-3,3,197
785,159,-3,3,197
782,162,-3,3,197
779,165,-3,3,197
776,168,-3,3,197
773,171,-3,3,197
770,174,-3,3,197
767,177,-3,3,197
764,180,-3,3,197
761,183,-3,3,197
758,186,-3,3,197
755,189,-3,3,197
752,192,-3,3,197
749,195,-3,3,197
746,198,-3,3,197
743,201,-3,3,197
740,204,-3,3,197
737,207,-3,3,197
734,210,-3,3,197
731,213,-3,3,197
728,216,-3,3,197
725,219,-3,3,197
722,222,-3,3,197
719,225,-3,3,197
716,228,-3,3,197
713,231,-3,3,197
710,234,-3,3,197
707,237,-3,3,197
704,240,-3,3,197
701,243,-3,3,197
698,246,-3,3,197
695,249,-3,3,197
692,252,-3,3,197
689,255,-3,3,197
686,258,-3,3,197
683,261,-3,3,197
680,264,-3,3,197
677,267,-3,3,197
674,270,-3,3,197
671,273,-3,3,197
668,276,-3,3,197
665,279,-3,3,197
662,282,-3,3,197
659,285,-3,3,197
656,288,-3,3,197
653,291,-3,3,197
650,294,-3,3,197
647,297,-3,3,197
644,300,-3,3,197
641,303,-3,3,197
638,306,-3,3,197
635,309,-3,3,197
632,312,-3,3,197
629,315,-3,3,197
626,318,-3,3,197
623,321,-3,3,197
620,324,-3,3,197
617,327,-3,3,197
614,330,-3,3,197
611,333,-3,3,197
608,336,-3,3,197
605,339,-3,3,197
602,342,-3,3,198
599,345,-3,3,198
596,348,-3,3,198
593,351,-3,3,199
590,354,-3,3,199
587,357,-3,3,200
584,360,-3,3,200
581,363,-3,3,201
578,366,-3,3,202
575,369,-3,3,203
572,372,-3,3,203
569,375,-3,3,204
566,378,-3,3,206
563,381,-3,3,209
560,384,-3,3,211
557,387,-3,3,211
554,390,-3,3,213
551,393,-3,3,214
548,396,-3,3,215
545,399,-3,3,215
542,402,-3,3,215
539,405,-3,3,216
536,408,-3,3,216
533,411,-3,3,216
530,414,-3,3,216
527,417,-3,3,216
524,420,-3,3,216
521,423,-3,3,216
518,426,-3,3,216
515,429,-3,3,216
512,432,-3,3,216
509,435,-3,3,216
506,438,-3,3,216
503,441,-3,3,216
500,444,-3,3,216
497,447,-3,3,216
494,450,-3,3,216
491,453,-3,3,216
488,456,-3,3,216
485,459,-3,3,216
482,462,-3,3,216
479,465,-3,3,216
476,468,-3,3,216
473,471,-3,3,216
470,474,-3,3,216
467,477,-3,3,216
464,480,-3,3,216
461,483,-3,3,216
458,486,-3,3,216
455,489,-3,3,216
452,492,-3,3,216
449,495,-3,3,216
446,498,-3,3,216
443,501,-3,3,216
440,504,-3,3,216
437,507,-3,3,216
434,510,-3,3,216
431,513,-3,3,216
428,516,-3,3,216
425,519,-3,3,216
422,522,-3,3,216
419,525,-3,3,216
416,528,-3,3,216
413,531,-3,3,216
410,534,-3,3,216
407,537,-3,3,216
404,540,-3,3,216
401,543,-3,3,216
398,546,-3,3,216
395,549,-3,3,216
392,552,-3,3,216
389,555,-3,3,216
386,558,-3,3,216
386,558,-3,-3,218
383,555,-3,-3,218
380,552,-3,-3,220
377,549,-3,-3,221
374,546,-3,-3,222
371,543,-3,-3,222
368,540,-3,-3,223
365,537,-3,-3,224
362,534,-3,-3,224
359,531,-3,-3,224
356,528,-3,-3,224
353,525,-3,-3,224
350,522,-3,-3,224
347,519,-3,-3,224
344,516,-3,-3,224
341,513,-3,-3,224
338,510,-3,-3,224
335,507,-3,-3,224
332,504,-3,-3,224
329,501,-3,-3,224
326,498,-3,-3,223
323,495,-3,-3,223
320,492,-3,-3,223
317,489,-3,-3,222
314,486,-3,-3,222
311,483,-3,-3,222
308,480,-3,-3,222
305,477,-3,-3,222
302,474,-3,-3,222
299,471,-3,-3,222
296,468,-3,-3,222
293,465,-3,-3,222
290,462,-3,-3,222
287,459,-3,-3,222
284,456,-3,-3,222
281,453,-3,-3,222
278,450,-3,-3,222
275,447,-3,-3,222
272,444,-3,-3,222
269,441,-3,-3,222
266,438,-3,-3,222
263,435,-3,-3,222
260,432,-3,-3,222
257,429,-3,-3,222
254,426,-3,-3,222
251,423,-3,-3,222
248,420,-3,-3,222
245,417,-3,-3,222
242,414,-3,-3,222
239,411,-3,-3,222
236,408,-3,-3,222
233,405,-3,-3,222
230,402,-3,-3,222
227,399,-3,-3,222
224,396,-3,-3,222
221,393,-3,-3,222
218,390,-3,-3,222
215,387,-3,-3,222
212,384,-3,-3,222
209,381,-3,-3,222
206,378,-3,-3,222
203,375,-3,-3,222
200,372,-3,-3,222
197,369,-3,-3,222
194,366,-3,-3,222
191,363,-3,-3,222
188,360,-3,-3,222
185,357,-3,-3,222
182,354,-3,-3,222
179,351,-3,-3,222
176,348,-3,-3,222
173,345,-3,-3,222
170,342,-3,-3,222
167,339,-3,-3,222
164,336,-3,-3,222
161,333,-3,-3,222
158,330,-3,-3,222
155,327,-3,-3,222
152,324,-3,-3,222
149,321,-3,-3,222
146,318,-3,-3,222
143,315,-3,-3,222
140,312,-3,-3,222
137,309,-3,-3,222
134,306,-3,-3,222
131,303,-3,-3,222
128,300,-3,-3,222
125,297,-3,-3,222
122,294,-3,-3,222
119,291,-3,-3,222
116,288,-3,-3,222
113,285,-3,-3,222
110,282,-3,-3,222
107,279,-3,-3,222
104,276,-3,-3,222
101,273,-3,-3,221
98,270,-3,-3,221
95,267,-3,-3,220
92,264,-3,-3,220
89,261,-3,-3,220
86,258,-3,-3,220
83,255,-3,-3,220
80,252,-3,-3,219
77,249,-3,-3,218
74,246,-3,-3,218
71,243,-3,-3,218
68,240,-3,-3,218
65,237,-3,-3,217
62,234,-3,-3,217
59,231,-3,-3,217
56,228,-3,-3,217
53,225,-3,-3,217
50,222,-3,-3,217
47,219,-3,-3,217
44,216,-3,-3,217
41,213,-3,-3,217
41,213,3,-3,217
44,210,3,-3,217
47,207,3,-3,217
50,204,3,-3,217
53,201,3,-3,217
56,198,3,-3,217
59,195,3,-3,217
62,192,3,-3,217
65,189,3,-3,217
68,186,3,-3,217
71,183,3,-3,217
74,180,3,-3,217
77,177,3,-3,217
80,174,3,-3,217
83,171,3,-3,217
86,168,3,-3,217
89,165,3,-3,217
92,162,3,-3,217
95,159,3,-3,217
98,156,3,-3,217
101,153,3,-3,217
104,150,3,-3,217
107,147,3,-3,217
110,144,3,-3,217
113,141,3,-3,217
116,138,3,-3,217
